"user_id","game_name","payment_month","total_revenue","age","language","previous_paid_month","next_paid_month","next_calendar_month","prev_calendar_month","previous_revenue","future_revenue","new_mrr","new_paid_users","paid_users","expansion_mrr","contraction_mrr","churned_revenue","churned_users","churn_month"
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-07-01 00:00:00.000 +0300,32.94,18,ru,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,19.98,65.34,0,0,1,12.96,0,0,0,
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-08-01 00:00:00.000 +0300,65.34,18,ru,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-09-01,2022-07-01,32.94,34.71,0,0,1,32.40,0,65.34,1,2022-09-01
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-11-01 00:00:00.000 +0200,34.71,18,ru,2022-08-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,65.34,,0,0,1,0,0,34.71,1,2022-12-01
FfphIhReAA2romBynjqxqw==,game 3,2022-09-01 00:00:00.000 +0300,70.80,19,uk,,,2022-10-01,2022-08-01,,,70.80,1,1,0,0,70.80,1,2022-10-01
fFqrZjaytcDUnW57W7PRJA==,game 3,2022-12-01 00:00:00.000 +0200,76.14,22,uk,,,2023-01-01,2022-11-01,,,76.14,1,1,0,0,76.14,1,2023-01-01
FgwYf9VO+gnaxZ7EXY0CkQ==,game 3,2022-09-01 00:00:00.000 +0300,14.88,39,uk,,2022-11-01 00:00:00.000 +0200,2022-10-01,2022-08-01,,13.29,14.88,1,1,0,0,14.88,1,2022-10-01
FgwYf9VO+gnaxZ7EXY0CkQ==,game 3,2022-11-01 00:00:00.000 +0200,13.29,39,uk,2022-09-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,14.88,,0,0,1,0,0,13.29,1,2022-12-01
fH7uxifYBCx0TULRrcqajg==,game 3,2022-11-01 00:00:00.000 +0200,15.51,23,uk,,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,,18.36,15.51,1,1,0,0,0,0,
fH7uxifYBCx0TULRrcqajg==,game 3,2022-12-01 00:00:00.000 +0200,18.36,23,uk,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,15.51,,0,0,1,2.85,0,18.36,1,2023-01-01
FLqAK4qKiMkvlLBgGwbBnQ==,game 3,2022-05-01 00:00:00.000 +0300,24.36,31,ru,,2022-08-01 00:00:00.000 +0300,2022-06-01,2022-04-01,,53.28,24.36,1,1,0,0,24.36,1,2022-06-01
